sport,season,seasonId,playerId,first_name,last_name,full_name,G,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,twoPointGoals,drawControls,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn,shotPct,sogPct,goalie_savePct
lacrosse,2022,17,93,Amber,McKenzie,Amber McKenzie,12,48,0,0,0,0,1,4,9,0,0,0,0,0,0,18,15,883,0,0,0,0,0,0,0,,,
lacrosse,2022,17,95,Sammy Jo,Tracy,Sammy Jo Tracy,12,49,6,2,8,15,19,1,2,0,9,1,7,0,0,18,14,757,0,0,0,0,0,0,0,0.4,0.467,
lacrosse,2022,17,98,Cortney,Fortunato,Cortney Fortunato,12,49,18,7,28,54,14,1,2,3,0,18,36,0,0,15,19,807,0,0,0,0,0,0,0,0.333,0.667,
lacrosse,2022,17,100,Haley,Warden,Haley Warden,12,49,4,2,6,12,12,11,17,0,27,4,8,0,0,10,13,863,0,0,0,0,0,0,0,0.333,0.667,
lacrosse,2022,17,101,Halle,Majorana,Halle Majorana,12,49,22,13,35,63,27,2,7,0,1,25,47,0,0,20,13,744,0,0,0,0,0,0,0,0.349,0.746,
lacrosse,2022,17,102,Taylor,VanThof,Taylor VanThof,12,50,6,4,10,15,7,2,3,0,0,2,8,0,0,14,10,626,0,0,0,0,0,0,0,0.4,0.533,
lacrosse,2022,17,105,Katrina,Geiger,Katrina Geiger,12,49,0,2,2,6,6,10,16,0,3,3,3,0,0,10,13,844,0,0,0,0,0,0,0,0.0,0.5,
lacrosse,2022,17,107,Caylee,Waters,Caylee Waters,12,48,0,0,0,0,10,10,28,0,2,0,0,0,0,21,20,1385,12,12,90,102,192,21,20,,,0.469
lacrosse,2022,17,109,Mollie,Stevens,Mollie Stevens,12,51,7,2,9,28,13,1,2,0,1,7,14,0,0,11,10,457,0,0,0,0,0,0,0,0.25,0.5,
lacrosse,2022,17,124,Meg,Douty,Meg Douty,12,49,0,0,0,0,3,12,17,0,4,0,0,0,0,22,21,875,0,0,0,0,0,0,0,,,
lacrosse,2022,17,127,Sydney,Pirreca,Sydney Pirreca,12,51,2,1,3,9,7,11,12,0,0,4,6,0,0,18,23,766,0,0,0,0,0,0,0,0.222,0.667,
lacrosse,2022,17,129,Mira,Shane,Mira Shane,12,51,0,0,0,0,1,1,0,0,0,0,0,0,0,15,23,746,1,0,2,3,5,2,1,,,0.4
lacrosse,2022,17,130,Sam,Apuzzo,Sam Apuzzo,12,49,24,16,41,78,15,10,20,1,20,29,53,0,0,15,19,1782,0,0,0,0,0,0,0,0.308,0.679,
lacrosse,2022,17,133,Kenzie,Kent,Kenzie Kent,12,49,26,7,33,53,23,1,20,0,26,14,40,0,0,25,18,1010,0,0,0,0,0,0,0,0.491,0.755,
lacrosse,2022,17,136,Katie,O'Donnell,Katie O'Donnell,12,51,14,1,15,35,13,5,14,0,17,11,25,0,0,19,26,1048,0,0,0,0,0,0,0,0.4,0.714,
lacrosse,2022,17,137,Britt,Read,Britt Read,12,49,0,1,1,0,5,4,16,0,0,0,0,0,0,15,15,1394,12,12,92,102,194,15,15,,,0.474
lacrosse,2022,17,138,Dempsey,Arsenault,Dempsey Arsenault,12,48,17,7,24,44,14,13,33,0,22,16,33,0,0,18,13,1375,0,0,0,0,0,0,0,0.386,0.75,
lacrosse,2022,17,155,Marie,McCool,Marie McCool,12,49,13,9,23,73,12,13,33,1,49,32,45,0,0,21,12,994,0,0,0,0,0,0,0,0.178,0.616,
lacrosse,2022,17,156,Kristen,Carr,Kristen Carr,12,50,0,0,0,1,7,12,9,0,4,0,0,0,0,19,12,931,0,0,0,0,0,0,0,0.0,0.0,
lacrosse,2022,17,162,Alex,Aust Holman,Alex Aust Holman,12,49,11,6,17,24,4,1,4,0,1,8,19,0,0,22,20,1091,0,0,0,0,0,0,0,0.458,0.792,
lacrosse,2022,17,173,Alyssa,Parrella,Alyssa Parrella,12,49,4,5,9,15,17,5,2,0,10,7,11,0,0,6,7,676,0,0,0,0,0,0,0,0.267,0.733,
lacrosse,2022,17,174,Ally,Kennedy,Ally Kennedy,12,50,13,9,22,56,13,7,14,0,43,23,36,0,0,17,11,740,0,0,0,0,0,0,0,0.232,0.643,
lacrosse,2022,17,175,Ella,Simkins,Ella Simkins,12,49,1,0,1,2,3,10,15,0,6,1,2,0,0,18,21,1001,0,0,0,0,0,0,0,0.5,1.0,
lacrosse,2022,17,177,Caroline,Wakefield,Caroline Wakefield,12,48,0,0,0,0,6,23,20,0,0,0,0,0,0,14,14,994,0,0,0,0,0,0,0,,,
lacrosse,2022,17,178,Becca,Block,Becca Block,12,49,1,2,3,4,6,15,22,0,14,2,3,0,0,15,20,1023,0,0,0,0,0,0,0,0.25,0.75,
lacrosse,2022,17,179,Kayla,Wood,Kayla Wood,12,50,0,0,0,0,4,6,5,0,10,0,0,0,0,18,23,689,0,0,0,0,0,0,0,,,
lacrosse,2022,17,180,Molly,Little,Molly Little,12,51,0,1,1,0,4,5,6,0,7,0,0,0,0,11,10,521,0,0,0,0,0,0,0,,,
lacrosse,2022,17,181,Lindsey,McKone,Lindsey McKone,12,50,9,8,17,29,19,16,17,0,25,12,21,0,0,19,12,1057,0,0,0,0,0,0,0,0.31,0.724,
lacrosse,2022,17,182,Nicole,Levy,Nicole Levy,12,49,13,8,22,41,16,0,5,1,0,15,28,0,0,15,15,999,0,0,0,0,0,0,0,0.317,0.683,
lacrosse,2022,17,183,Kyra,Pelton,Kyra Pelton,12,51,0,0,0,0,3,8,8,0,1,0,0,0,0,11,14,662,0,0,0,0,0,0,0,,,
lacrosse,2022,17,184,Shayna,Pirreca,Shayna Pirreca,12,49,7,0,9,27,8,0,1,2,0,11,18,0,0,22,19,632,0,0,0,0,0,0,0,0.259,0.667,
lacrosse,2022,17,185,Izzy,McMahon,Izzy McMahon,12,50,14,5,23,49,5,1,5,4,0,22,36,0,0,9,8,626,0,0,0,0,0,0,0,0.286,0.735,
lacrosse,2022,17,186,Kady,Glynn,Kady Glynn,12,51,0,0,0,0,6,1,16,0,0,0,0,0,0,17,21,1298,12,11,104,102,206,17,21,,,0.505
lacrosse,2022,17,188,Kelly,McPartland,Kelly McPartland,12,50,6,2,8,23,6,7,13,0,3,8,14,0,0,15,21,615,0,0,0,0,0,0,0,0.261,0.609,
lacrosse,2022,17,193,Amanda,Johansen,Amanda Johansen,12,48,15,1,20,45,13,14,25,4,41,21,36,0,0,11,17,1372,0,0,0,0,0,0,0,0.333,0.8,
lacrosse,2022,17,300,Lizzie,Colson,Lizzie Colson,12,50,1,3,4,3,11,22,19,0,23,2,3,0,0,15,23,1348,0,0,0,0,0,0,0,0.333,1.0,
lacrosse,2022,17,301,Kerrigan,Miller,Kerrigan Miller,12,51,2,0,2,13,8,3,6,0,1,4,6,0,0,19,26,852,0,0,0,0,0,0,0,0.154,0.462,
lacrosse,2022,17,302,Molly,Wolf,Molly Wolf,12,48,0,0,0,0,0,1,1,0,0,0,0,0,0,18,15,872,3,0,7,6,13,3,2,,,0.538
lacrosse,2022,17,392,Paulina,DiFatta,Paulina DiFatta,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,566,2,1,8,2,10,2,1,,,0.8
lacrosse,2022,17,393,Taylor,Moreno,Taylor Moreno,12,50,0,1,1,0,8,4,12,0,0,0,0,0,0,12,9,1798,12,12,103,132,235,12,9,,,0.438
lacrosse,2022,17,394,Courtney,Taylor,Courtney Taylor,12,48,0,1,1,0,4,17,17,0,14,0,0,0,0,17,12,1173,0,0,0,0,0,0,0,,,
lacrosse,2022,17,395,Ally,Mastroianni,Ally Mastroianni,12,50,19,10,30,57,16,13,20,1,40,16,35,0,0,18,25,1399,0,0,0,0,0,0,0,0.333,0.614,
lacrosse,2022,17,396,Aurora,Cordingley,Aurora Cordingley,12,50,4,7,11,19,13,1,2,0,0,11,15,0,0,22,20,632,0,0,0,0,0,0,0,0.211,0.789,
lacrosse,2022,17,397,Sydney,Watson,Sydney Watson,12,49,5,0,5,10,11,0,3,0,13,2,7,0,0,17,16,513,0,0,0,0,0,0,0,0.5,0.7,
lacrosse,2022,17,398,Ally,Palermo,Ally Palermo,12,50,1,0,1,1,4,12,17,0,3,0,1,0,0,21,11,919,0,0,0,0,0,0,0,1.0,1.0,
lacrosse,2022,17,399,Jill,Girardi,Jill Girardi,12,50,4,1,6,21,13,2,5,1,14,6,10,0,0,20,16,881,0,0,0,0,0,0,0,0.19,0.476,
lacrosse,2022,17,400,Grace,Griffin,Grace Griffin,12,48,8,5,13,26,9,9,14,0,11,7,15,0,0,14,14,884,0,0,0,0,0,0,0,0.308,0.577,
lacrosse,2022,17,401,Sarah,Cooper,Sarah Cooper,12,49,0,0,0,0,1,6,5,0,1,0,0,0,0,21,19,672,0,0,0,0,0,0,0,,,
lacrosse,2022,17,402,Scottie Rose,Growney,Scottie Rose Growney,12,50,18,6,25,45,11,0,6,1,0,13,31,0,0,11,15,665,0,0,0,0,0,0,0,0.4,0.689,
lacrosse,2022,17,403,Jamie,Ortega,Jamie Ortega,9,38,6,7,13,11,12,1,1,0,7,3,9,0,0,11,10,499,0,0,0,0,0,0,0,0.545,0.818,
lacrosse,2022,17,404,Molly,Dougherty,Molly Dougherty,12,50,0,0,0,0,0,0,1,0,0,0,0,0,0,12,16,892,1,0,5,2,7,0,1,,,0.714
lacrosse,2022,17,405,Emma,Trenchard,Emma Trenchard,12,50,0,0,0,0,3,7,18,0,4,0,0,0,0,12,9,1031,0,0,0,0,0,0,0,,,
lacrosse,2022,17,406,Lauren,Gilbert,Lauren Gilbert,12,48,25,2,27,74,30,1,7,0,15,25,50,0,0,11,12,1129,0,0,0,0,0,0,0,0.338,0.676,
lacrosse,2022,17,424,Charlotte,North,Charlotte North,12,51,31,11,50,84,22,3,6,8,7,28,59,0,0,18,23,1061,0,0,0,0,0,0,0,0.369,0.702,
lacrosse,2022,17,490,Sam,Geiersbach,Sam Geiersbach,12,50,15,8,23,37,20,0,5,0,1,10,25,0,0,11,20,992,0,0,0,0,0,0,0,0.405,0.676,
lacrosse,2022,17,491,Kelsey,Huff,Kelsey Huff,12,50,18,3,25,65,8,2,8,4,2,26,44,0,0,22,21,1342,0,0,0,0,0,0,0,0.277,0.677,
lacrosse,2022,17,523,Andie,Aldave,Andie Aldave,3,12,1,3,4,5,2,1,1,0,3,2,3,0,0,4,5,276,0,0,0,0,0,0,0,0.2,0.6,
