sport,api_version,season,seasonId,teamId,G,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,v1,2022,13,166,25,560,86,69,7,15,1,0,2,6,13,2,14,0,0,0,22,0,2,1,2,0,0,0,0,20.0,23,8,5,2,4,19,0,1,340,114,226,140,38,16,3,2,0,57,0.217,0.357,0.319,0.676,,0.29,0.151,0.163,0.101,0.321,,2.25,,,,1.35,10.35,0.9,1.8,8.55,4.75,3.6,0.947,57,3.471
softball,v1,2022,13,167,28,560,92,84,12,24,3,0,7,12,6,1,15,1,1,0,48,0,1,1,2,0,0,0,1,20.001,24,14,12,1,13,14,2,1,382,161,234,157,47,25,3,2,0,75,0.286,0.341,0.571,0.912,,0.369,0.065,0.163,0.286,0.5,2.0,5.4,,,,1.85,10.799,0.45,5.85,6.3,1.077,6.3,0.96,75,4.127
softball,v1,2022,13,168,26,1012,99,83,8,20,4,0,0,7,10,4,21,3,3,0,24,0,2,2,1,0,0,0,1,21.0,22,12,12,7,11,16,1,1,406,160,246,152,46,21,0,13,0,67,0.241,0.351,0.289,0.64,,0.205,0.101,0.212,0.048,0.323,,5.143,,,,1.571,9.429,3.0,4.714,6.857,1.455,5.143,1.0,67,3.967
softball,v1,2022,13,169,29,800,97,85,18,28,5,1,5,17,9,2,17,1,1,0,50,1,0,2,1,0,0,0,2,20.0,18,11,11,4,10,18,6,2,407,168,246,150,40,16,2,3,0,58,0.329,0.402,0.588,0.99,,0.376,0.093,0.175,0.259,0.516,2.0,4.95,,,,1.4,8.1,1.8,4.5,8.1,1.8,4.95,0.966,58,3.36
softball,v1,2022,13,170,28,542,92,84,10,22,3,0,4,10,6,1,14,3,3,0,37,1,0,1,2,0,0,1,0,20.999,27,15,13,2,13,11,2,5,426,170,256,162,49,32,2,8,1,83,0.262,0.315,0.44,0.755,,0.286,0.065,0.152,0.179,0.388,2.0,5.572,,,,1.905,11.572,0.857,5.572,4.715,0.846,6.429,0.976,83,4.5
softball,v1,2022,13,171,26,650,108,88,19,29,6,0,3,17,15,4,13,1,2,1,44,1,0,2,1,0,0,0,0,21.0,25,17,15,5,7,15,0,1,354,133,227,151,43,19,2,3,0,64,0.33,0.444,0.5,0.944,,0.341,0.139,0.12,0.17,0.438,2.0,6.429,,,,1.524,10.714,2.143,3.0,6.429,2.143,7.286,0.969,64,3.695
softball,v1,2022,13,172,27,812,113,100,27,40,7,0,5,27,12,0,19,0,0,0,62,1,0,3,0,0,1,1,1,21.0,26,14,10,6,7,13,0,1,415,157,258,162,47,24,2,0,0,73,0.4,0.46,0.62,1.08,,0.34,0.106,0.168,0.22,0.584,,4.286,,,,1.571,11.143,2.571,3.0,5.571,1.857,6.0,0.973,73,3.944
softball,v1,2022,13,173,28,164,93,85,17,23,6,0,3,16,7,0,10,0,1,1,38,0,1,0,3,0,0,0,0,20.333,36,27,26,2,13,17,3,1,476,202,291,162,41,10,1,2,1,52,0.271,0.326,0.447,0.773,,0.247,0.075,0.108,0.176,0.361,,11.508,,,,2.41,15.935,0.885,5.754,7.525,1.308,11.951,0.981,52,2.833
softball,v1,2022,13,174,30,360,100,89,20,27,4,1,6,18,10,1,19,4,5,1,51,0,0,1,2,0,0,0,0,20.0,25,20,14,5,11,13,2,2,379,151,228,160,46,31,8,7,0,85,0.303,0.38,0.573,0.953,,0.416,0.1,0.19,0.27,0.516,2.0,6.3,,,,1.8,11.25,2.25,4.95,5.85,1.182,9.0,0.906,85,4.331
softball,v1,2022,13,175,25,570,111,95,21,34,9,1,3,19,15,1,13,1,2,1,54,0,0,2,1,0,1,1,1,21.0,18,15,14,6,10,22,3,1,438,179,259,165,40,15,1,0,1,56,0.358,0.45,0.568,1.018,,0.368,0.135,0.117,0.211,0.468,2.0,6.0,,,,1.333,7.714,2.571,4.286,9.429,2.2,6.429,0.982,56,3.0
softball,v1,2022,13,176,26,522,111,93,26,32,9,1,4,23,14,2,19,3,3,0,55,0,2,2,1,0,1,1,0,21.0,33,22,20,3,15,12,0,1,446,191,265,161,50,21,2,2,2,73,0.344,0.44,0.591,1.031,,0.43,0.126,0.171,0.247,0.514,2.0,8.571,,,,2.286,14.143,1.286,6.429,5.143,0.8,9.429,0.973,73,3.969
softball,v1,2022,13,177,30,632,90,79,14,20,2,1,4,13,10,1,12,0,1,1,36,0,0,1,2,0,0,0,0,21.001,37,24,19,3,13,16,0,1,426,175,265,168,46,21,5,4,0,72,0.253,0.344,0.456,0.8,,0.316,0.111,0.133,0.203,0.381,,8.142,,,,2.381,15.856,1.286,5.571,6.857,1.231,10.285,0.931,72,3.589
softball,v1,2022,13,178,25,820,82,72,8,16,2,1,3,8,7,2,13,0,0,0,29,0,1,2,1,0,0,0,1,20.0,12,5,5,2,11,14,2,2,329,136,196,152,45,18,1,8,0,64,0.222,0.309,0.403,0.712,,0.278,0.085,0.159,0.181,0.339,,2.25,,,,1.15,5.4,0.9,4.95,6.3,1.273,2.25,0.984,64,3.73
softball,v1,2022,13,179,25,530,104,85,23,26,5,1,6,23,16,2,20,1,2,1,51,0,1,2,1,0,2,2,0,20.0,21,10,9,3,5,9,1,0,343,122,221,160,50,30,2,2,0,82,0.306,0.427,0.6,1.027,,0.482,0.154,0.192,0.294,0.542,2.0,4.05,,,,1.3,9.45,1.35,2.25,4.05,1.8,4.5,0.976,82,4.5
softball,v1,2022,13,180,28,368,82,76,3,14,2,1,1,3,5,0,15,0,0,0,21,0,1,0,3,0,1,1,0,19.999000000000002,18,7,7,2,11,26,2,2,382,152,230,153,33,17,1,0,1,51,0.184,0.235,0.276,0.511,,0.158,0.061,0.183,0.092,0.25,,3.15,,,,1.45,8.1,0.9,4.95,11.701,2.364,3.15,0.98,51,2.941
softball,v1,2022,13,181,25,422,89,74,10,18,2,2,3,10,10,4,14,0,0,0,33,0,1,2,1,1,2,2,0,21.0,23,22,22,6,11,13,3,2,392,155,237,165,50,25,0,5,0,75,0.243,0.364,0.446,0.81,,0.338,0.112,0.157,0.203,0.368,,9.429,,,,1.619,9.857,2.571,4.714,5.571,1.182,9.429,1.0,75,4.091
softball,v1,2022,13,182,28,326,99,84,14,22,4,1,5,13,8,7,17,1,2,1,43,0,0,1,2,0,0,0,0,20.0,21,15,15,6,11,12,2,1,375,151,226,153,45,26,2,0,0,73,0.262,0.374,0.512,0.886,,0.345,0.081,0.172,0.25,0.435,2.0,6.75,,,,1.6,9.45,2.7,4.95,5.4,1.091,6.75,0.973,73,4.176
softball,v1,2022,13,183,28,232,87,82,11,20,3,0,3,11,4,1,15,0,0,0,32,0,0,0,3,0,0,0,0,21.0,25,22,16,8,10,19,1,1,412,146,266,163,41,19,3,0,0,63,0.244,0.287,0.39,0.677,,0.195,0.046,0.172,0.146,0.359,,6.857,,,,1.667,10.714,3.429,4.286,8.143,1.9,9.429,0.952,63,3.313
softball,v1,2022,13,184,25,880,99,85,20,24,5,2,7,19,12,2,9,2,2,0,54,0,0,3,0,1,1,1,2,21.0,15,7,4,1,8,17,5,0,363,128,235,165,46,19,3,0,0,68,0.282,0.384,0.635,1.019,,0.518,0.121,0.091,0.353,0.449,2.0,1.714,,,,1.095,6.429,0.429,3.429,7.286,2.125,3.0,0.956,68,3.545
softball,v1,2022,13,185,25,840,90,74,10,16,3,1,3,10,12,1,16,0,0,0,30,2,1,2,1,0,0,0,1,20.0,21,11,11,3,7,9,3,1,337,125,212,154,52,28,0,7,1,80,0.216,0.326,0.405,0.731,,0.351,0.133,0.178,0.189,0.333,,4.95,,,,1.4,9.45,1.35,3.15,4.05,1.286,4.95,1.0,80,4.675
